run_date,market_region,universe_mode,ticker,name,entry_price,target1_price,target2_price,stop_price,data_quality,liquidity_warning,risk_reward_warning,days_after,tracking_date,close_price,return_pct,max_return_pct,min_return_pct,hit_target1,hit_target2,hit_stop,first_hit,status,next_open_price,next_open_gap_pct
2026-07-10,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,10.0,2026-07-27,11030.0,-4.9957,0.4307,-6.7614,0.0,0.0,1.0,stop_first,completed,11610.0,0.0
2026-07-10,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,9.0,2026-07-24,10860.0,-6.4599,0.4307,-6.7614,0.0,0.0,1.0,stop_first,tracking,11610.0,0.0
2026-07-10,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,8.0,2026-07-23,11120.0,-4.2205,0.4307,-4.4358,0.0,0.0,1.0,stop_first,tracking,11610.0,0.0
2026-07-10,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,7.0,2026-07-22,11220.0,-3.3592,0.4307,-4.2205,0.0,0.0,1.0,stop_first,tracking,11610.0,0.0
2026-07-10,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,6.0,2026-07-21,11305.0,-2.627,0.4307,-4.2205,0.0,0.0,1.0,stop_first,tracking,11610.0,0.0
2026-07-10,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,5.0,2026-07-20,11230.0,-3.273,0.4307,-3.5745,0.0,0.0,1.0,stop_first,tracking,11610.0,0.0
2026-07-10,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,4.0,2026-07-16,11600.0,-0.0861,0.4307,-2.3686,0.0,0.0,0.0,none,tracking,11610.0,0.0
2026-07-10,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,3.0,2026-07-15,11575.0,-0.3015,0.4307,-2.3686,0.0,0.0,0.0,none,tracking,11610.0,0.0
2026-07-10,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,2.0,2026-07-14,11505.0,-0.9044,0.4307,-2.3686,0.0,0.0,0.0,none,tracking,11610.0,0.0
2026-07-10,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,1.0,2026-07-13,11530.0,-0.6891,0.4307,-0.6891,0.0,0.0,0.0,none,tracking,11610.0,0.0
